name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"moscow, russia",2024-04-12,13.6,6.4,10,13.6,3.2,8.7,3.4,64,0.7,100,12.5,rain,0,0,55.7,34.8,260.3,1014.4,79.1,9.8,133.1,11.5,6,10,2024-04-12T05:31:21,2024-04-12T19:30:29,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-13,13.2,3,9.2,13.2,0.2,7.8,2.4,63.7,0.8,100,8.33,rain,0,0,39.6,20.7,298.5,1013.2,66.7,10,180.8,15.7,6,10,2024-04-13T05:28:50,2024-04-13T19:32:30,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-14,13.6,2.8,9,13.6,0.3,7.8,5.8,81.5,2.1,100,20.83,rain,0,0,39.6,22.5,216.4,1006.7,67.3,9.7,101.7,8.7,4,10,2024-04-14T05:26:20,2024-04-14T19:34:32,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-15,10,4.7,7,7.6,0.4,3,3.1,77,3.2,100,20.83,rain,0,0,54.4,33.3,246.2,996,75.3,9.8,115.4,9.8,5,10,2024-04-15T05:23:50,2024-04-15T19:36:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-16,13,5,8.3,13,0.3,6,1.7,66.2,0,0,0,rain,0,0,46.8,27.6,244.5,998.6,92.6,10,127.1,11.2,6,10,2024-04-16T05:21:21,2024-04-16T19:38:34,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-17,11,6.6,8.9,11,5.1,7.6,3.3,68.9,1.3,100,29.17,rain,0,0,18,13.1,224.7,998.5,76.2,10,99.5,8.5,5,10,2024-04-17T05:18:52,2024-04-17T19:40:35,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-18,10.6,2.6,6.7,10.6,0.6,4.4,3.8,82.4,2.1,100,29.17,rain,0,0,43.2,28.8,72.1,1004.6,76.6,9.4,91.8,7.8,5,10,2024-04-18T05:16:25,2024-04-18T19:42:36,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-19,14,2.6,7.8,14,-3.5,4.6,4.5,81.4,7,100,41.67,"rain,snow",0,0,67.5,39.9,157.7,995.1,88.7,7.6,154.5,13.4,7,10,2024-04-19T05:13:58,2024-04-19T19:44:37,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-20,11.6,2,6.6,11.6,-3.5,3.8,-0.8,61.1,1.4,100,20.83,rain,0,0,54,33.3,208.7,1014.7,52.7,10,180.3,15.5,6,10,2024-04-20T05:11:32,2024-04-20T19:46:39,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"moscow, russia",2024-04-21,16.6,3.7,10.8,16.6,0.7,9.5,2.3,57.3,0,0,0,rain,0,0,64.8,40,86,1018.1,71.9,9.9,156.8,13.4,6,10,2024-04-21T05:09:07,2024-04-21T19:48:40,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
