name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"jaipur, rajasthan",12-04-2024,37,25.2,31.1,35.3,25.2,30,10.9,29.5,0,0,0,,0,0,29.5,14.8,167.9,1011.3,49.2,4,259.5,22.5,9,10,2024-04-12T06:05:42,2024-04-12T18:49:45,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",13-04-2024,36,24,29,35.4,24,29,15.1,44.5,0,0,0,rain,0,0,40.3,24.1,95.7,1010.9,61.6,3.7,239,20.7,9,30,2024-04-13T06:04:41,2024-04-13T18:50:16,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",14-04-2024,34,24,29.1,34.6,24,29.6,17.1,49.1,0,0,0,rain,0,0,33.5,29.5,93.5,1012.5,62.9,3.9,157.3,13.6,7,10,2024-04-14T06:03:40,2024-04-14T18:50:46,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",15-04-2024,36,27,31.2,35.4,27.9,31.1,15.5,40.5,0,0,0,,0,0,39.2,22.3,286.7,1013.1,58.1,4,143.2,12.6,7,10,2024-04-15T06:02:41,2024-04-15T18:51:17,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",16-04-2024,36,27,31.5,34.8,27.1,30.8,13.2,33.4,0,0,0,,0,0,43.9,18.4,326.2,1012.7,33.3,4.8,300,26,10,10,2024-04-16T06:01:41,2024-04-16T18:51:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",17-04-2024,37,26,31.7,34.9,26,30.3,9.5,27,0,0,0,,0,0,42.8,20.5,333.2,1011.3,23.8,4.8,299.4,25.8,10,10,2024-04-17T06:00:43,2024-04-17T18:52:19,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",18-04-2024,38,25,32.3,36.4,25,31,9.2,24.7,0,0,0,,0,0,49,27.7,285.6,1009.6,53.4,4.4,273.3,23.6,10,10,2024-04-18T05:59:45,2024-04-18T18:52:50,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",19-04-2024,38.3,26,32.8,36.4,26,31.5,10,27.1,0,0,0,,0,0,51.8,36.3,268.9,1006.4,34.5,4.1,307.9,26.5,10,10,2024-04-19T05:58:47,2024-04-19T18:53:22,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",20-04-2024,35,26.2,31.3,32.7,26.2,29.6,7.3,23.2,0,0,0,,0,0,43.6,18.4,281.2,1006.9,31.3,4.3,289.5,24.9,10,10,2024-04-20T05:57:51,2024-04-20T18:53:53,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"jaipur, rajasthan",21-04-2024,35,26,31,34,26,30,12,31.8,0,0,0,,0,0,33.5,14.8,191.3,1008.3,40.6,4.8,275.8,23.8,9,10,2024-04-21T05:56:55,2024-04-21T18:54:25,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
